Source,Target
0,1
0,2
1,2
3,0
3,2
4,0
4,1
5,0
5,2
6,3
6,4
7,0
7,1
8,0
8,3
9,8
9,7
10,6
10,7
11,0
11,7
12,2
12,3
13,8
13,0
14,0
14,3
15,0
15,8
16,0
16,7
17,16
17,14
18,10
18,4
19,0
19,12
20,16
20,4
21,12
21,14
22,16
22,4
23,4
23,7
24,4
24,22
25,11
25,5
26,0
26,8
27,17
27,14
28,0
28,3
29,16
29,20
30,28
30,4
31,1
31,20
32,28
32,5
33,32
33,18
34,24
34,33
35,33
35,7
36,12
36,14
37,32
37,31
38,0
38,20
39,8
39,28
40,20
40,21
41,17
41,5
42,32
42,17
43,2
43,21
44,43
44,28
45,3
45,4
46,17
46,28
47,16
47,24
48,0
48,22
49,0
49,12
50,33
50,43
51,30
51,31
52,16
52,34
53,4
53,23
54,0
54,7
55,5
55,46
56,25
56,26
57,16
57,7
58,12
58,22
59,26
59,52
60,18
60,13
61,8
61,58
62,23
62,31
63,28
63,62
64,0
64,35
65,41
65,14
66,16
66,7
67,2
67,46
68,33
68,58
69,14
69,63
70,58
70,43
71,32
71,43
72,0
72,31
73,67
73,68
74,50
74,28
75,0
75,16
76,12
76,68
77,75
77,12
78,67
78,4
79,0
79,18
80,0
80,3
81,0
81,44
82,17
82,20
83,18
83,4
84,11
84,78
85,27
85,20
86,8
86,2
87,8
87,16
88,8
88,55
89,17
89,82
90,20
90,79
91,40
91,22
92,43
92,46
93,0
93,4
94,20
94,28
95,32
95,23
96,16
96,10
97,16
97,4
98,91
98,45
99,12
99,63
100,32
100,0
101,0
101,13
102,28
102,7
103,0
103,84
104,32
104,7
105,42
105,79
106,74
106,31
107,12
107,46
108,99
108,63
109,43
109,75
110,32
110,12
111,65
111,43
112,0
112,27
113,49
113,68
114,19
114,95
115,65
115,60
116,1
116,29
117,17
117,78
118,11
118,4
119,0
119,108
120,17
120,1
121,2
121,102
122,17
122,115
123,120
123,16
124,75
124,7
125,26
125,43
126,4
126,13
127,0
127,43
128,101
128,95
129,0
129,46
130,27
130,109
131,1
131,18
132,74
132,23
133,8
133,63
134,95
134,23
135,120
135,21
136,8
136,75
137,43
137,124
138,0
138,121
139,52
139,78
140,40
140,0
141,16
141,22
142,51
142,13
143,86
143,55
144,33
144,23
145,67
145,7
146,137
146,55
147,130
147,108
148,128
148,28
149,1
149,4
150,12
150,6
151,16
151,128
152,32
152,23
153,49
153,113
154,60
154,30
155,50
155,51
156,8
156,38
157,27
157,155
158,12
158,102
159,128
159,141
160,8
160,44
161,1
161,69
162,4
162,61
163,11
163,13
164,48
164,8
165,153
165,139
166,59
166,4
167,130
167,122
168,128
168,23
169,5
169,30
170,34
170,53
171,114
171,126
172,8
172,82
173,8
173,31
174,33
174,2
175,0
175,143
176,0
176,170
177,65
177,6
178,8
178,1
179,16
179,23
180,128
180,66
181,8
181,13
182,75
182,14
183,169
183,23
184,13
184,7
185,51
185,68
186,32
186,108
187,25
187,109
188,179
188,79
189,34
189,7
190,18
190,149
191,1
191,34
192,0
192,31
193,124
193,181
194,34
194,68
195,33
195,52
196,3
196,54
197,33
197,3
198,123
198,68
199,23
199,7
200,128
200,18
201,200
201,99
202,72
202,155
203,43
203,143
204,24
204,16
205,96
205,17
206,32
206,16
207,43
207,22
208,4
208,28
209,180
209,4
210,4
210,63
211,105
211,133
212,129
212,34
213,19
213,46
214,1
214,31
215,32
215,16
216,32
216,193
217,30
217,103
218,33
218,21
219,89
219,6
220,114
220,102
221,195
221,108
222,4
222,21
223,0
223,17
224,193
224,20
225,4
225,46
226,89
226,23
227,3
227,220
228,154
228,4
229,0
229,118
230,0
230,26
231,161
231,180
232,34
232,68
233,212
233,62
234,209
234,10
235,68
235,5
236,170
236,179
237,4
237,31
238,124
238,69
239,12
239,13
240,8
240,167
241,8
241,186
242,29
242,205
243,27
243,5
244,136
244,69
245,228
245,189
246,25
246,99
247,214
247,7
248,16
248,8
249,220
249,77
250,0
250,138
251,162
251,28
252,179
252,214
253,171
253,103
254,121
254,214
255,185
255,78
256,146
256,230
257,251
257,126
258,32
258,43
259,193
259,95
260,28
260,4
261,65
261,63
262,203
262,7
263,189
263,63
264,208
264,195
265,0
265,161
266,31
266,119
267,233
267,67
268,176
268,1
269,0
269,7
270,22
270,127
271,18
271,22
272,66
272,75
273,160
273,156
274,12
274,30
275,227
275,52
276,0
276,31
277,99
277,267
278,186
278,238
279,48
279,54
280,231
280,95
281,217
281,47
282,164
282,110
283,45
283,70
284,8
284,4
285,128
285,242
286,26
286,242
287,93
287,38
288,280
288,82
289,128
289,28
290,200
290,10
291,240
291,17
292,130
292,30
293,25
293,58
294,168
294,43
295,291
295,4
296,220
296,141
297,112
297,134
298,27
298,236
299,4
299,262
300,242
300,11
301,58
301,13
302,8
302,63
303,8
303,20
304,177
304,50
305,129
305,167
306,26
306,139
307,170
307,95
308,17
308,207
309,16
309,38
310,163
310,308
311,145
311,242
312,16
312,75
313,66
313,52
314,126
314,263
315,0
315,31
316,235
316,166
317,280
317,0
318,305
318,2
319,49
319,58
320,34
320,28
321,67
321,22
322,32
322,242
323,78
323,63
324,280
324,51
325,26
325,167
326,242
326,108
327,146
327,198
328,16
328,34
329,123
329,262
330,65
330,33
331,1
331,14
332,16
332,258
333,0
333,238
334,68
334,333
335,8
335,18
336,200
336,114
337,258
337,75
338,201
338,154
339,220
339,103
340,0
340,81
341,16
341,156
342,161
342,99
343,227
343,71
344,92
344,127
345,250
345,189
346,320
346,14
347,114
347,117
348,32
348,237
349,0
349,61
350,305
350,269
351,200
351,31
352,166
352,270
353,129
353,204
354,25
354,70
355,156
355,285
356,332
356,213
357,101
357,31
358,208
358,0
359,338
359,118
360,138
360,247
361,86
361,127
362,282
362,250
363,356
363,7
364,46
364,182
365,297
365,305
366,65
366,287
367,0
367,127
368,285
368,22
369,288
369,121
370,27
370,55
371,263
371,7
372,0
372,92
373,355
373,52
374,332
374,127
375,67
375,214
376,21
376,157
377,170
377,50
378,24
378,160
379,188
379,4
380,188
380,53
381,11
381,243
382,128
382,7
383,93
383,6
384,297
384,140
385,0
385,23
386,345
386,182
387,326
387,22
388,8
388,118
389,323
389,277
390,250
390,54
391,66
391,31
392,194
392,31
393,77
393,39
394,51
394,7
395,327
395,7
396,290
396,189
397,154
397,95
398,212
398,180
399,4
399,358
400,62
400,23
401,282
401,355
402,209
402,334
403,50
403,87
404,357
404,246
405,34
405,108
406,112
406,211
407,160
407,23
408,403
408,46
409,72
409,243
410,33
410,332
411,242
411,46
412,41
412,322
413,1
413,282
414,250
414,111
415,67
415,127
416,43
416,367
417,49
417,390
418,27
418,7
419,250
419,338
420,217
420,22
421,129
421,218
422,18
422,333
423,236
423,46
424,138
424,181
425,17
425,22
426,17
426,375
427,320
427,128
428,84
428,63
429,107
429,347
430,13
430,37
431,30
431,319
432,286
432,319
433,61
433,6
434,33
434,12
435,66
435,102
436,10
436,155
437,26
437,3
438,394
438,4
